Date,Weekly_Sales
2010-02-05,881833.41
2010-02-12,1457182.4
2010-02-19,1118257.36
2010-02-26,681391.58
2010-03-05,762652.57
2010-03-12,803886.93
2010-03-19,846686.47
2010-03-26,1045724.42
2010-04-02,2451952.54
2010-04-09,1518946.82
2010-04-16,609719.72
2010-04-23,588496.89
2010-04-30,600156
2010-05-07,669362.8
2010-05-14,666912.2
2010-05-21,633105.07
2010-05-28,643528.83
2010-06-04,648393.81
2010-06-11,648890.42
2010-06-18,665184.13
2010-06-25,648196.08
2010-07-02,678962.23
2010-07-09,637733.18
2010-07-16,648002.69
2010-07-23,631305.04
2010-07-30,634299.47
2010-08-06,642139.2
2010-08-13,624871.72
2010-08-20,608719.73
2010-08-27,609494.16
2010-09-03,645460.66
2010-09-10,679750.43
2010-09-17,707846.31
2010-09-24,710290.43
2010-10-01,764160.42
2010-10-08,889534.94
2010-10-15,981685.59
2010-10-22,1130709.91
2010-10-29,1761080.4
2010-11-05,1344483.38
2010-11-12,637898.54
2010-11-19,681384.04
2010-11-26,732023.07
2010-12-03,940974.7
2010-12-10,1287990.47
2010-12-17,1788743.92
2010-12-24,2232354.21
2010-12-31,621175.09
2011-01-07,523274.28
2011-01-14,572892.57
2011-01-21,623889.32
2011-01-28,652488.21
2011-02-04,792603.03
2011-02-11,1212377.15
2011-02-18,1461194.84
2011-02-25,619446.17
2011-03-04,684054.64
2011-03-11,703729.49
2011-03-18,723344.24
2011-03-25,735317.56
2011-04-01,781166.1
2011-04-08,927417.45
2011-04-15,1140811.14
2011-04-22,2301887.84
2011-04-29,1484108.24
2011-05-06,649338.4
2011-05-13,611503.25
2011-05-20,590107.44
2011-05-27,599105.51
2011-06-03,603592.8
2011-06-10,607439.84
2011-06-17,621559.64
2011-06-24,628891.77
2011-07-01,645093.8
2011-07-08,635646.3
2011-07-15,642237.78
2011-07-22,622483.37
2011-07-29,628436.94
2011-08-05,643312.68
2011-08-12,619463.6
2011-08-19,623716.97
2011-08-26,625554.64
2011-09-02,632023.24
2011-09-09,685912.02
2011-09-16,715780.44
2011-09-23,734213.45
2011-09-30,741630.83
2011-10-07,864480.77
2011-10-14,925375.81
2011-10-21,1072796.5
2011-10-28,1500794.42
2011-11-04,1663186.89
2011-11-11,683835.02
2011-11-18,698553.97
2011-11-25,755285.53
2011-12-02,940287.71
2011-12-09,1284315.42
2011-12-16,1790310.08
2011-12-23,2230343.8
2011-12-30,892701.5
2012-01-06,593103.91
2012-01-13,613081.71
2012-01-20,660113.12
2012-01-27,680687.63
2012-02-03,819746.84
2012-02-10,1130450.1
2012-02-17,1779316.01
2012-02-24,703530.48
2012-03-02,789334.39
2012-03-09,790558.79
2012-03-16,849715.12
2012-03-23,904195.89
2012-03-30,1170557.93
2012-04-06,2492989.92
2012-04-13,1508832.27
2012-04-20,611916.32
2012-04-27,602250.63
2012-05-04,629152.8
2012-05-11,666154.84
2012-05-18,648739.47
2012-05-25,643725.65
2012-06-01,628090.49
2012-06-08,667201.63
2012-06-15,662747.62
2012-06-22,650481.18
2012-06-29,642542.41
2012-07-06,681918.86
2012-07-13,649298.95
2012-07-20,656522.55
2012-07-27,632525.48
2012-08-03,657372.05
2012-08-10,645714.28
2012-08-17,644341.48
2012-08-24,643308.17
2012-08-31,649190.54
2012-09-07,700311.48
2012-09-14,727323.11
2012-09-21,740105.84
2012-09-28,754344.66
2012-10-05,855362.83
2012-10-12,936707.78
2012-10-19,1037182.46
2012-10-26,1295180.09
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
